petal length (cm),sepal width (cm),target
4.7,3.2,versicolor
4.5,3.2,versicolor
4.9,3.1,versicolor
4.0,2.3,versicolor
4.6,2.8,versicolor
4.5,2.8,versicolor
4.7,3.3,versicolor
3.3,2.4,versicolor
4.6,2.9,versicolor
3.9,2.7,versicolor
3.5,2.0,versicolor
4.2,3.0,versicolor
4.0,2.2,versicolor
4.7,2.9,versicolor
3.6,2.9,versicolor
4.4,3.1,versicolor
4.5,3.0,versicolor
4.1,2.7,versicolor
4.5,2.2,versicolor
3.9,2.5,versicolor
4.8,3.2,versicolor
4.0,2.8,versicolor
4.9,2.5,versicolor
4.7,2.8,versicolor
4.3,2.9,versicolor
4.4,3.0,versicolor
4.8,2.8,versicolor
5.0,3.0,versicolor
4.5,2.9,versicolor
3.5,2.6,versicolor
3.8,2.4,versicolor
3.7,2.4,versicolor
3.9,2.7,versicolor
5.1,2.7,versicolor
4.5,3.0,versicolor
4.5,3.4,versicolor
4.7,3.1,versicolor
4.4,2.3,versicolor
4.1,3.0,versicolor
4.0,2.5,versicolor
4.4,2.6,versicolor
4.6,3.0,versicolor
4.0,2.6,versicolor
3.3,2.3,versicolor
4.2,2.7,versicolor
4.2,3.0,versicolor
4.2,2.9,versicolor
4.3,2.9,versicolor
3.0,2.5,versicolor
4.1,2.8,versicolor
5.1,2.7,virginica
4.5,2.5,virginica
5.1,3.2,virginica
5.3,2.7,virginica
5.0,2.5,virginica
5.1,2.8,virginica
5.3,3.2,virginica
5.0,2.2,virginica
4.9,2.8,virginica
4.9,2.7,virginica
4.8,2.8,virginica
4.9,3.0,virginica
5.1,2.8,virginica
4.8,3.0,virginica
5.1,3.1,virginica
5.1,2.7,virginica
5.2,3.0,virginica
5.0,2.5,virginica
5.2,3.0,virginica
5.1,3.0,virginica
